(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.09000000000000001): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.1): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.11): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.12000000000000001): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.13): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.14): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.2999999999999998e-06, tol=0.15000000000000002): Ein=1.9018763162192287, Eval=2.060773459825319
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.05): Ein=1.8942913833678463, Eval=2.058564504522988
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.060000000000000005): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.07): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.08): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.09000000000000001): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.1): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.11): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.12000000000000001): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.13): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.4e-06, tol=0.14): Ein=1.9018776018146413, Eval=2.060773857304949
