(eps=0.0, alpha=1.1000000000000001e-05, tol=0.16): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.17): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.18): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.1000000000000001e-05, tol=0.19): Ein=1.893980402382629, Eval=2.0636136265614473
(eps=0.0, alpha=1.2e-05, tol=0.0): Ein=1.8022074779190538, Eval=2.1817189853655137
(eps=0.0, alpha=1.2e-05, tol=0.010000000000000009): Ein=1.8655702451303, Eval=2.081029923120378
(eps=0.0, alpha=1.2e-05, tol=0.020000000000000004): Ein=1.879081672899676, Eval=2.068601239145555
(eps=0.0, alpha=1.2e-05, tol=0.03): Ein=1.8863495246136297, Eval=2.0650853456251794
(eps=0.0, alpha=1.2e-05, tol=0.04000000000000001): Ein=1.8863495246136297, Eval=2.0650853456251794
(eps=0.0, alpha=1.2e-05, tol=0.05): Ein=1.8863495246136297, Eval=2.0650853456251794
(eps=0.0, alpha=1.2e-05, tol=0.060000000000000005): Ein=1.894047759934204, Eval=2.0636887735090492
(eps=0.0, alpha=1.2e-05, tol=0.07): Ein=1.894047759934204, Eval=2.0636887735090492
(eps=0.0, alpha=1.2e-05, tol=0.08): Ein=1.894047759934204, Eval=2.0636887735090492
(eps=0.0, alpha=1.2e-05, tol=0.09000000000000001): Ein=1.894047759934204, Eval=2.0636887735090492
(eps=0.0, alpha=1.2e-05, tol=0.1): Ein=1.894047759934204, Eval=2.0636887735090492
(eps=0.0, alpha=1.2e-05, tol=0.11): Ein=1.894047759934204, Eval=2.0636887735090492
(eps=0.0, alpha=1.2e-05, tol=0.12000000000000001): Ein=1.894047759934204, Eval=2.0636887735090492
